analysis_celltype	patients	cells	median_patient_P4	q1_patient_P4	q3_patient_P4
Endothelial	26	7605	0.430786895361327	0.348210936049528	0.50747444228957
CAF	26	6573	0.69159824126716	0.608630583567178	0.790872165839708
Lymphocyte	26	46299	0.266203597973927	0.203045249084121	0.317526403514033
Macrophage	26	5929	0.886294543889079	0.67764984273144	1.04689346200497
Other myeloid	26	3746	0.757623441738196	0.638729770532181	0.922182402048728
Malignant epithelial	20	24489	0.342148832098204	0.285703422274697	0.396655057405385
