predictor	covariate	n	responders	nonresponders	coefficient	odds_ratio_per_sd	ci95_low	ci95_high	wald_p	likelihood_ratio_chi2	likelihood_ratio_p	aic
z_P4_primary	z_macrophage_identity	34	24	10	0.5340613339036948	1.7058462704539437	0.780614981542887	3.727716694176409	0.18056333092088195	1.8943642877575684	0.16871049343994535	44.31284980831314
z_P4_primary	z_hypoxia	34	24	10	2.1926915654449504	8.959295220304568	1.0019471048420552	80.1129824684964	0.0497927242287948	4.612240433124036	0.031744533384857804	42.39187437134357
z_P4_primary	z_macrophage_like_fraction_of_immune	34	24	10	0.891881875484909	2.4397165767407913	0.8902194485899312	6.686235606570784	0.08293160591701498	3.545950212774194	0.05969096897047379	42.52004912229068
z_P4_primary	z_median_n_counts	34	24	10	0.602152141280344	1.8260444802721656	0.49297354471995636	6.7639297882133596	0.3674251029362442	0.8697261586867597	0.3510311306371574	45.56244862817995
