cohort	unit	target	spots	high_P4_spots	observed_neighbor_effect	null_median	excess_over_null	permutation_p	fdr_within_unit
Figshare validation	P1	tcell_ifng_response	2702	676	0.015073105546859478	-0.0046826840139235215	0.019755789560783	0.0004997501249375312	0.0009995002498750624
Figshare validation	P1	tcell_progenitor	2702	676	0.008634954771726086	0.0006184159690892296	0.008016538802636856	0.01999000499750125	0.01999000499750125
Figshare validation	P2	cd8_cytotoxic	2740	685	0.015044608858828565	0.005551545616523618	0.009493063242304946	0.0004997501249375312	0.0004997501249375312
Figshare validation	P2	tcell_exhaustion	2740	685	0.008460798119429756	2.456218864471671e-05	0.00843623593078504	0.0004997501249375312	0.0004997501249375312
Figshare validation	P2	tcell_ifng_response	2740	685	0.010436785190061276	-0.009247203315437533	0.01968398850549881	0.0004997501249375312	0.0004997501249375312
Figshare validation	P2	tcell_progenitor	2740	685	0.013652941750477376	0.00236220298867924	0.011290738761798137	0.0004997501249375312	0.0004997501249375312
Figshare validation	P3	cd8_cytotoxic	999	250	0.0167629192260568	0.015530570718856315	0.0012323485072004842	0.888055972013993	0.888055972013993
Figshare validation	P3	tcell_exhaustion	999	250	0.009622154900877047	0.003872613791685825	0.005749541109191222	0.20589705147426288	0.5367316341829086
Figshare validation	P3	tcell_ifng_response	999	250	-0.014390821601633685	-0.017580347882782593	0.003189526281148908	0.7716141929035483	0.888055972013993
Figshare validation	P3	tcell_progenitor	999	250	0.01461160848922577	0.03141499682611469	-0.016803388336888922	0.2683658170914543	0.5367316341829086
Figshare validation	P4	cd8_cytotoxic	2051	513	0.004784541114504676	0.001362795843103927	0.0034217452714007494	0.10094952523738131	0.13459936698317507
Figshare validation	P4	tcell_exhaustion	2051	513	0.004486068103621274	0.0009049983111221634	0.0035810697924991107	0.05747126436781609	0.11494252873563218
Figshare validation	P4	tcell_ifng_response	2051	513	0.015455943414007994	-0.00040903854309559673	0.01586498195710359	0.0009995002498750624	0.00399800099950025
Figshare validation	P4	tcell_progenitor	2051	513	0.006412597892351407	0.0019203354752800987	0.004492262417071308	0.15642178910544727	0.15642178910544727
Figshare validation	P5	cd8_cytotoxic	1816	454	0.003853806297542379	0.0008871218755625481	0.002966684421979831	0.027486256871564217	0.036648342495418956
Figshare validation	P5	tcell_exhaustion	1816	454	0.006102872735294782	0.0015084613645339404	0.004594411370760842	0.04597701149425287	0.04597701149425287
Figshare validation	P5	tcell_ifng_response	1816	454	0.02109339576232097	0.002087684853613145	0.019005710908707826	0.0014992503748125937	0.0029985007496251873
Figshare validation	P5	tcell_progenitor	1816	454	0.013413239002199193	0.0020596283419485363	0.011353610660250656	0.0004997501249375312	0.001999000499750125
Figshare validation	P6	cd8_cytotoxic	2147	537	0.0033871079372223105	0.0002726096957500349	0.0031144982414722756	0.0034982508745627187	0.0069965017491254375
Figshare validation	P6	tcell_exhaustion	2147	537	0.00200862090588743	-0.0010903186486333621	0.0030989395545207923	0.06046976511744128	0.08062635348992171
Figshare validation	P6	tcell_ifng_response	2147	537	0.012450166317695327	-0.0013977664157523231	0.01384793273344765	0.0009995002498750624	0.00399800099950025
Figshare validation	P6	tcell_progenitor	2147	537	0.002268987002804323	0.0005629949388271504	0.0017059920639771724	0.24537731134432783	0.24537731134432783
Figshare validation	P7	cd8_cytotoxic	2798	700	0.027518595261580223	0.004721053542278475	0.022797541719301748	0.0004997501249375312	0.0006663334999167083
Figshare validation	P7	tcell_exhaustion	2798	700	0.0073508358875401525	0.0010424866630197732	0.006308349224520379	0.00849575212393803	0.00849575212393803
Figshare validation	P7	tcell_ifng_response	2798	700	0.043866771894551404	0.0027818315773896762	0.04108494031716173	0.0004997501249375312	0.0006663334999167083
Figshare validation	P7	tcell_progenitor	2798	700	0.02409636450148528	0.0028520432902481713	0.021244321211237108	0.0004997501249375312	0.0006663334999167083
Figshare validation	P8	cd8_cytotoxic	3241	811	0.0031176074886396683	0.000820682200049147	0.0022969252885905213	0.037481259370314844	0.037481259370314844
Figshare validation	P8	tcell_exhaustion	3241	811	0.004891479484959035	0.00043146645756533125	0.004460013027393704	0.0004997501249375312	0.0009995002498750624
Figshare validation	P8	tcell_ifng_response	3241	811	0.027576990248343425	0.0027714394195338804	0.024805550828809544	0.0004997501249375312	0.0009995002498750624
