validation_program	rank	gene	loading
V1	1	SPP1	36.6139547155955
V1	2	CSTB	29.3915377620382
V1	3	MT1X	27.3726235126774
V1	4	MMP9	25.3761401201914
V1	5	MT2A	23.4724369375022
V1	6	MT1G	21.9656795472151
V1	7	RPL36A	18.6178545570593
V1	8	LYZ	18.5489226511492
V1	9	DDIT4	17.5942376080562
V1	10	RPS17	17.0026442608182
V1	11	APOC1	16.5654992291527
V1	12	APOE	16.5275957063557
V1	13	CTSB	15.8328569959589
V1	14	MT1E	15.5027747314681
V1	15	H2AFZ	15.3362906942385
V1	16	TACSTD2	14.8872566546801
V1	17	HSPB1	14.6265616406663
V1	18	MT1F	14.2518764940277
V1	19	KRT17	13.8731710425332
V1	20	MT1H	13.4117893565208
V1	21	ALOX5AP	13.0182996059131
V1	22	S100A9	12.4245920725244
V1	23	CTSD	11.672305999985
V1	24	TXN	11.4870779361841
V1	25	STMN1	11.0877478795723
V1	26	KRT14	10.8146425218148
V1	27	HIST1H4C	10.2266292500585
V1	28	CLDN4	9.62323804618642
V1	29	FABP5	9.33632428818531
V1	30	HSPE1	9.24235609842951
V1	31	SLPI	8.64273700141526
V1	32	S100A8	8.30986969123596
V1	33	PCLAF	8.13467936313235
V1	34	LGALS3	8.12215902337893
V1	35	C1QC	8.01959117465422
V1	36	PERP	7.85394138217673
V1	37	CXCL8	7.85295055556867
V1	38	FDCSP	7.79329677899943
V1	39	MARCKSL1	7.61629045683107
V1	40	SOX4	7.51008163749813
V1	41	CKS1B	7.43309000561799
V1	42	FXYD3	7.38845031395015
V1	43	HMGB2	7.32996653581857
V1	44	ACP5	7.1681894301436
V1	45	MT1M	7.02247986689671
V1	46	IL7R	6.91277319528728
V1	47	GPNMB	6.87896554024213
V1	48	CD9	6.73338868149092
V1	49	UBE2C	6.5573226540015
V1	50	ID1	6.52136145784675
V2	1	APOE	69.4192006449537
V2	2	C1QB	57.2175579290013
V2	3	C1QC	50.8413649883188
V2	4	APOC1	50.0040071566912
V2	5	CTSD	46.3722934203801
V2	6	CTSB	43.1987269431313
V2	7	RNASE1	39.7905913839613
V2	8	IFI27	32.9634509012556
V2	9	LYZ	32.4123827182252
V2	10	CTSL	31.8470811342084
V2	11	GPNMB	31.1843575093548
V2	12	LGMN	30.670348807118
V2	13	CSTB	25.2185170949844
V2	14	PLD3	24.970638908302
V2	15	NUPR1	22.8017338610951
V2	16	LGALS3	21.9790567447847
V2	17	HLA-DRB5	21.5708985529834
V2	18	MSR1	20.8450815621761
V2	19	CCL18	20.4395832143711
V2	20	LIPA	19.122560030513
V2	21	TXN	18.4570892198786
V2	22	ACP5	17.929372916948
V2	23	HSPA1A	17.2654740110058
V2	24	PLTP	15.9586797797774
V2	25	HMOX1	15.7470360528776
V2	26	CD9	15.4599949292079
V2	27	MT2A	15.4477404795244
V2	28	TREM2	15.258840470305
V2	29	HSPB1	14.1917749910055
V2	30	FN1	13.7933287909847
V2	31	CCL2	13.1899864340287
V2	32	SELENOP	13.012551875849
V2	33	FABP5	12.98228722404
V2	34	SCPEP1	12.8163822899875
V2	35	CXCL10	11.3787311322754
V2	36	CXCL9	11.2789552321545
V2	37	FUCA1	11.2218654018205
V2	38	CCL13	11.1425898557995
V2	39	PLAU	11.068389572178
V2	40	VSIG4	10.9477290437822
V2	41	SLC40A1	10.8796142188232
V2	42	GCHFR	10.8185908194675
V2	43	HLA-DQA2	10.6898698496559
V2	44	MRC1	10.4030053459233
V2	45	S100A9	10.2121665587006
V2	46	CCL3	10.1385988361382
V2	47	HSPA1B	9.72319972606084
V2	48	PLA2G7	9.68435291339605
V2	49	HSPE1	9.34243614277977
V2	50	CCL8	8.67890351395509
V3	1	HSPA1A	50.960185294016
V3	2	DNAJB1	40.0054020493845
V3	3	HSPA1B	36.7604424163613
V3	4	HSPB1	33.3072155870248
V3	5	ZFP36	28.9997930155193
V3	6	HSPH1	26.8217336030638
V3	7	EGR1	24.0969489994426
V3	8	HSPE1	22.8460657691915
V3	9	RPL36A	21.7543530580203
V3	10	RGS2	21.1581778302899
V3	11	HSPD1	21.0152975344532
V3	12	RPS17	20.9649394490839
V3	13	CXCL8	20.5606803203671
V3	14	IGKC	20.0397980036757
V3	15	IGLC2	19.7938431893553
V3	16	CCL3	18.7731666245616
V3	17	CXCL2	18.0795643874611
V3	18	LYZ	18.0268519156039
V3	19	CCL4	15.5375012467711
V3	20	G0S2	14.1804879312342
V3	21	CTSD	14.0633940645838
V3	22	RPL17	13.7494702967123
V3	23	SDS	13.5578243887853
V3	24	PLIN2	13.2783954506888
V3	25	DUSP2	12.7260642928539
V3	26	FABP5	12.724963767914
V3	27	HSPA6	12.5928354154078
V3	28	TIMP1	12.4930537852128
V3	29	BAG3	12.2740271394771
V3	30	DNAJA4	11.6582361391337
V3	31	CXCL3	11.573024893682
V3	32	IGHM	11.3959590146086
V3	33	LGALS3	11.0717395743839
V3	34	ZFAND2A	10.922569948395
V3	35	GABARAP	10.7622089847418
V3	36	MT2A	10.7208785176771
V3	37	CKS2	10.6628262007563
V3	38	CCL3L1	9.51517127694815
V3	39	CTSB	8.97431810343102
V3	40	IGHG3	8.73520305889283
V3	41	S100A9	8.47361631981531
V3	42	FKBP4	8.46669681446004
V3	43	VMO1	8.41774448969762
V3	44	KCNQ1OT1	7.97941921012877
V3	45	CALHM6	7.81407738263624
V3	46	CSTB	7.81386600209788
V3	47	ACP5	7.78813334225935
V3	48	CCL2	7.75668266064691
V3	49	CTSL	7.64718150121061
V3	50	XBP1	7.36595888005941
V4	1	LYZ	43.2635295083793
V4	2	MT2A	29.7693275178644
V4	3	CXCL10	24.7366930401264
V4	4	TXN	24.510982808822
V4	5	HLA-DRB5	23.2556911129063
V4	6	LGALS2	19.5814741388777
V4	7	H2AFZ	19.017683794767
V4	8	RPL36A	18.8996313737686
V4	9	ZFP36	18.8867091714594
V4	10	CSTB	17.8004357775132
V4	11	CLEC10A	17.084964936552
V4	12	HLA-DQA2	17.0077631755645
V4	13	CD52	16.4024399770001
V4	14	CXCL9	15.4846600013191
V4	15	RGS2	14.8103387774615
V4	16	RPS17	14.6986474779164
V4	17	MARCKSL1	14.3964968016972
V4	18	HSPE1	14.3252307650092
V4	19	HSPA1A	13.6623698600873
V4	20	ALOX5AP	13.6243077644545
V4	21	C1QB	13.3611314283966
V4	22	AREG	12.8529696351641
V4	23	TIMP1	12.7076956885401
V4	24	BIRC3	12.142301328609
V4	25	CXCL11	11.5547833761619
V4	26	HSPB1	11.311464349771
V4	27	FBP1	10.9332283786082
V4	28	HSPD1	10.826929606195
V4	29	CTSB	10.7769410188883
V4	30	CRIP1	10.64096871175
V4	31	FABP5	10.2025611561793
V4	32	TNFSF10	10.1007741568711
V4	33	CST7	10.0129889778679
V4	34	IGKC	9.93596462680849
V4	35	LTB	9.92719979899377
V4	36	S100B	9.8286735359208
V4	37	CD40	9.63427090642372
V4	38	IDO1	9.37320149650375
V4	39	RPL17	9.04616725467048
