target	sections	mean_section_effect	sections_positive	cohort_null_median	cohort_permutation_p	alternative	secondary_fdr
fibrovascular	8	0.16829930919885588	7	0.04589279929870719	0.0004997501249375312	greater	
fibroblast_ecm	8	0.12892909440986522	7	0.03045976579671532	0.0004997501249375312	two-sided	0.0008329168748958853
endothelial_angiogenic	8	0.0332273531707278	8	0.010555476742104199	0.0004997501249375312	two-sided	0.0008329168748958853
malignant_epithelial	8	-0.050477141471425735	1	-0.049611914142733554	0.8380809595202399	two-sided	0.8380809595202399
cd8_cytotoxic	8	0.010976093076047069	8	0.003808564264926817	0.0004997501249375312	two-sided	0.0008329168748958853
treg	8	0.001031557288611827	5	0.0005781405540609875	0.5197401299350325	two-sided	0.6496751624187906
