subcluster	macrophage_core_median	macrophage_core_mean	lipid_lysosomal_median	lipid_lysosomal_mean	spp1_matrix_median	spp1_matrix_mean	classical_monocyte_median	classical_monocyte_mean	dendritic_median	dendritic_mean	neutrophil_median	neutrophil_mean	antigen_presentation_median	antigen_presentation_mean	cells
myeloid_00	1.841534705717637	1.9456087388594285	1.6063966704268196	1.5718974527775433	1.5562241109787953	1.5520775728295222	1.397705724171745	1.4214814697949112	0.0	0.00927081863244771	0.08248685443060369	0.12336906097116657	2.1130977519039105	2.008233404145733	7587
myeloid_01	2.548801513443241	2.4710073726036885	0.967590337688673	1.0145677036912533	0.850010337488675	0.8711974001104162	0.7720701152686205	0.8111435933686619	0.0	0.03716272079126278	0.21560012436235135	0.23407837399550308	3.079400314163655	3.0214855906499136	10253
myeloid_02	2.3784798628511115	2.3720277690174987	1.6247330386038603	1.5921685253170774	0.7818315077759854	0.8193680281001808	1.2258073061398085	1.2864214586438931	0.0	0.023948899640136342	0.19405883763921292	0.2143098895233425	2.219697361410533	2.1431040079358175	3952
myeloid_03	0.8747751217311064	1.0682967246686765	0.5433455374104026	0.7047115710249992	0.7441529652590969	0.8367774989715564	2.0402623009044376	2.090132950011607	0.0	0.07811539545027935	0.3793623821477937	0.40443636099751296	3.03832114165592	2.8816006434545387	12756
myeloid_04	2.9477483131456044	2.857149727627113	0.8810504933335864	0.9684008862004898	0.3202428318903093	0.3629402570870904	0.7813517999553852	0.8030524360692085	0.0	0.08243247561938113	0.1706172857364802	0.18533639048030348	3.3860707084156956	3.282003382824218	14795
myeloid_05	2.091617178316954	2.050972300382601	0.8112125786586453	0.9334424881839635	1.1273694560491323	1.1225890832932595	1.0470978309109231	1.1138299319601654	0.0	0.06589669682440334	0.2574476738451025	0.26878204348412926	3.06977244063244	2.908261166413203	4449
myeloid_06	1.8655984767636928	1.844057582264845	1.2853162245855119	1.2731379381269283	1.40092572645242	1.413442171865689	1.3156975823983381	1.3590522024228213	0.0	0.011096983552576243	0.0	0.09957113021375713	2.545781178923864	2.3840110584406062	4000
myeloid_07	0.2191798244125614	0.32217645657028754	0.22477842455228197	0.2487166936279001	0.0	0.12816810003816043	0.5307382320302325	0.5400199204694565	0.0	0.06994186853582426	0.0	0.11876504461384595	3.457673149200128	3.250592977511643	2106
myeloid_08	0.23989317272610414	0.2979875989384109	0.23174723268879943	0.24798271401291644	0.0	0.08399910008952746	1.027697745388176	1.0208834630994543	0.4052005379124798	0.4027375550587846	0.18263534168621573	0.19550757614589304	4.090140066001256	4.03168989177259	1810
myeloid_09	0.4925317417549063	0.7106922250485073	0.26152708456095564	0.34145797601381656	0.20600414763527436	0.26432788274285585	1.1425026401389031	1.2143544076456716	0.5473682271710727	0.5886548662371572	0.3452499127689012	0.3578084511975299	4.039758440632205	3.985048300648701	8614
myeloid_10	3.0436741639796505	2.835535290447998	2.499911469254423	2.428490998181585	0.927505943526639	0.9672081702053823	0.9814769689818126	1.0173603092156993	0.0	0.04285661155836287	0.17679383309158284	0.1851688232258153	2.769240455607517	2.5946191123110878	8323
myeloid_11	3.244714868279732	3.1221505138382777	1.396850789256413	1.388270859891203	0.7105014592841284	0.7804919522084734	1.2248138987944845	1.2704510195413152	0.0	0.038447717519600126	0.26158883937903826	0.27167163500855485	3.7021839401802783	3.6284899490167573	31523
