rank	starts	mean_component_stability	min_component_stability	mean_reconstruction_error	min_reconstruction_error
5	5	0.9999999882941601	0.9999999660292545	440.9575949177821	440.9575945110922
6	5	0.9330036544640901	0.832497688465058	431.8209328442593	431.62168878532833
7	5	0.937871362096321	0.8445702161640317	423.1008525303244	422.9542629390571
