method	seed	rng	metric	rank	sparseness.basis	sparseness.coef	rss	evar	silhouette.coef	silhouette.basis	residuals	niter	cpu	cpu.all	nrun	cophenetic	dispersion	silhouette.consensus
brunet	random	1	KL	5	0.526675682207144	0.612414048799551	210188.9287806	0.55572186383713	0.662721790571688	0.701134825038034	167745.728252819	1870	16.864	53.997	3	0.979865993212146	0.90035490635022	0.88467122042446
brunet	random	1	KL	6	0.548740988354026	0.624230779559504	202868.167791685	0.571195818941798	0.622426526648433	0.621841290691454	163162.508172338	1910	19.127	58.858	3	0.929559215035156	0.821039564279952	0.680545831804948
brunet	random	2	KL	7	0.570802233353435	0.630010615629073	197565.530940144	0.582404047799608	0.559917654540975	0.610956999654103	158915.339222461	2000	22.192	66.671	3	0.970615239793664	0.905512124661922	0.845433272704883
