discovery_program	validation_program	overlap_n	universe_genes	discovery_genes_in_universe	hypergeom_p	overlapping_genes	hypergeom_fdr
P1	B1	4	500	14	0.0417325821134593	LYZ;S100A8;THBD;TIMP1	0.046949154877641716
P1	B2	3	500	14	0.15589702358453217	CCL4L2;IL1B;LYZ	0.16506743673656346
P1	B3	5	500	14	0.008196777431331605	CCL4L2;CXCL1;CXCL3;LYZ;TIMP1	0.01180335950111751
P1	B4	4	500	14	0.0417325821134593	G0S2;LYZ;S100A8;TIMP1	0.046949154877641716
P1	B5	10	500	14	3.0711395491062176e-08	ADM;CCL20;CXCL1;CXCL3;EREG;G0S2;INHBA;S100A8;TIMP1;VCAN	1.382012797097798e-07
P1	B6	12	500	14	2.1324962448048536e-11	ADM;CCL20;CXCL1;CXCL3;EREG;G0S2;IL1B;LYZ;S100A8;THBD;TIMP1;VCAN	2.5589954937658243e-10
P2	B1	4	500	11	0.017271818991052686	HSPH1;LYZ;MT2A;TIMP1	0.02220662441706774
P2	B2	5	500	11	0.002392548076265578	HSPH1;LYZ;MGP;MT2A;SLC40A1	0.003744857858502644
P2	B3	7	500	11	1.6142200230443827e-05	CD36;HSPH1;LYZ;MGP;PDK4;SLC40A1;TIMP1	3.874128055306518e-05
P2	B4	7	500	11	1.6142200230443827e-05	AREG;CD36;FCN1;HSPH1;LYZ;MT2A;TIMP1	3.874128055306518e-05
P2	B5	5	500	11	0.002392548076265578	HSPH1;MGP;MT1X;MT2A;TIMP1	0.003744857858502644
P2	B6	7	500	11	1.6142200230443827e-05	AREG;CD36;FCN1;HSPH1;LYZ;MGP;TIMP1	3.874128055306518e-05
P3	B1	10	500	12	2.3636991407180555e-09	CCL18;CCL5;CXCL9;FBP1;FN1;HMOX1;IL32;LYZ;MMP9;NUPR1	1.4182194844308332e-08
P3	B2	4	500	12	0.024011611440184273	CCL5;LYZ;NUPR1;SLC40A1	0.029807517649883923
P3	B3	6	500	12	0.000432987653132062	CCL18;HMOX1;LYZ;NUPR1;RARRES1;SLC40A1	0.000742264548226392
P3	B4	10	500	12	2.3636991407180555e-09	CCL18;CXCL9;FBP1;FN1;HMOX1;IL32;LYZ;MMP9;NUPR1;RARRES1	1.4182194844308332e-08
P3	B5	7	500	12	3.5779459253646394e-05	CCL5;FBP1;FN1;HMOX1;IL32;MMP9;NUPR1	8.050378332070439e-05
P3	B6	2	500	12	0.34145344579695946	HMOX1;LYZ	0.34145344579695946
P4	B1	8	500	11	7.632449736436115e-07	FBP1;FN1;HMOX1;LYZ;MT2A;NUPR1;S100A8;TIMP1	3.052979894574446e-06
P4	B2	3	500	11	0.0873943404298898	LYZ;MT2A;NUPR1	0.0953392804689707
P4	B3	6	500	11	0.00023438355619285423	CD36;HMOX1;LYZ;MARCO;NUPR1;TIMP1	0.0004218904011471376
P4	B4	11	500	11	3.4113799738538705e-12	CD36;CD52;FBP1;FN1;HMOX1;LYZ;MARCO;MT2A;NUPR1;S100A8;TIMP1	6.140483952936966e-11
P4	B5	9	500	11	2.3541309166643516e-08	CD52;FBP1;FN1;HMOX1;MARCO;MT2A;NUPR1;S100A8;TIMP1	1.2106958999988095e-07
P4	B6	6	500	11	0.00023438355619285423	CD36;CD52;HMOX1;LYZ;S100A8;TIMP1	0.0004218904011471376
P5	B1	6	500	11	0.00023438355619285423	CCL2;EGR2;HMOX1;HSPH1;LYZ;OLFML3	0.0004218904011471376
P5	B2	10	500	11	4.2556965173827043e-10	CCL2;CCL4L2;EGR2;GEM;HSPA6;HSPH1;IL1B;LYZ;OLFML3;TNF	3.830126865644434e-09
P5	B3	7	500	11	1.6142200230443827e-05	CCL2;CCL4L2;EGR2;HMOX1;HSPA6;HSPH1;LYZ	3.874128055306518e-05
P5	B4	4	500	11	0.017271818991052686	GEM;HMOX1;HSPH1;LYZ	0.02220662441706774
P5	B5	4	500	11	0.017271818991052686	CCL2;GEM;HMOX1;HSPH1	0.02220662441706774
P5	B6	7	500	11	1.6142200230443827e-05	CCL2;GEM;HMOX1;HSPH1;IL1B;LYZ;TNF	3.874128055306518e-05
P6	B1	17	500	18	1.0177757881043002e-17	APOBEC3A;CCL2;CCL5;CCL8;CXCL10;CXCL11;CXCL9;FN1;IDO1;IFIT1;IFIT2;IFIT3;IL32;LYZ;MT2A;RSAD2;TIMP1	3.6639928371754807e-16
P6	B2	8	500	18	0.00011620674914088984	CCL2;CCL4L2;CCL5;IFIT1;IFIT2;IFIT3;LYZ;MT2A	0.00024608488053364907
P6	B3	5	500	18	0.02567828852985136	CCL2;CCL4L2;CCL8;LYZ;TIMP1	0.03081394623582163
P6	B4	6	500	18	0.005404600908139489	CXCL9;FN1;IL32;LYZ;MT2A;TIMP1	0.008106901362209233
P6	B5	9	500	18	1.2010257727129542e-05	CCL2;CCL5;FN1;IFIT1;IFIT3;IL32;MT2A;RSAD2;TIMP1	3.874128055306518e-05
P6	B6	3	500	18	0.26462331353640517	CCL2;LYZ;TIMP1	0.2721839796374453
