module	requested_genes	present_genes	coverage	genes_present
P4_primary	13	13	1.0	CD36;CD52;FABP5;FBP1;FN1;HMOX1;LYZ;MARCO;MT2A;NUPR1;S100A8;SPP1;TIMP1
P3_secondary	8	8	1.0	ACP5;CCL18;CXCL9;FN1;HMOX1;IFI27;LYZ;NUPR1
P1_inflammatory	30	29	0.9666666666666667	CXCL8;CXCL2;CXCL3;G0S2;NEAT1;CCL3;CSTB;IL1B;S100A8;PLIN2;CCL20;CTSD;CEBPB;BRI3;TXN;CXCL1;EGR1;OSM;IL1RN;FABP5;CCL4;TNFAIP6;LGALS3;LYZ;EREG;DUSP2;TIMP1;OLR1;ADM
P6_interferon	30	30	1.0	CXCL10;IFI27;ISG15;CCL2;MT2A;IFI6;GBP1;IFITM1;IFIT3;TNFSF10;CCL8;VIM;CXCL9;GBP5;PRDX1;TXN;LYZ;WARS;CCL4;ANXA2;IFIT2;IFIT1;ISG20;IL4I1;CXCL11;CCL3;CTSC;HSPA5;HSP90AA1;RSAD2
hypoxia	14	14	1.0	HIF1A;EGLN1;CA9;VEGFA;LDHA;PDK1;SLC2A1;BNIP3;NDRG1;ENO1;ALDOA;PGK1;HK2;PFKP
macrophage_identity	5	5	1.0	C1QA;C1QB;C1QC;CD68;MSR1
phagolysosome	6	6	1.0	FCER1G;TYROBP;LST1;AIF1;CTSB;LAMP1
