cohort	unit	setting	neighbors	high_fraction	covariates	permutation_stratified	excess_over_null
Wu discovery	CID44971	neighbors_k12	12	0.25	macrophage_identity;hypoxia;log1p_umi	True	0.017005982870379133
Wu discovery	CID44971	high_fraction_0.20	6	0.2	macrophage_identity;hypoxia;log1p_umi	True	0.021037422569243514
Wu discovery	CID44971	high_fraction_0.25	6	0.25	macrophage_identity;hypoxia;log1p_umi	True	0.02104828387527008
Wu discovery	CID44971	high_fraction_0.33	6	0.33	macrophage_identity;hypoxia;log1p_umi	True	0.025655053468227385
Wu discovery	CID44971	residual_macrophage_depth	6	0.25	macrophage_identity;log1p_umi	True	-0.03416246025351821
Wu discovery	CID44971	residual_depth_only	6	0.25	log1p_umi	True	0.041856648353498116
Wu discovery	CID44971	residual_plus_fibroblast	6	0.25	macrophage_identity;hypoxia;log1p_umi;fibroblast_ecm	True	-0.11487353114511487
Wu discovery	CID44971	unstratified_permutation	6	0.25	macrophage_identity;hypoxia;log1p_umi	False	0.27759608289006976
Wu discovery	CID4535	neighbors_k4	4	0.25	macrophage_identity;hypoxia;log1p_umi	True	0.3717485653845438
Wu discovery	CID4535	neighbors_k6	6	0.25	macrophage_identity;hypoxia;log1p_umi	True	0.3699618160066982
Wu discovery	CID4535	neighbors_k8	8	0.25	macrophage_identity;hypoxia;log1p_umi	True	0.3524326269071279
Wu discovery	CID4535	neighbors_k12	12	0.25	macrophage_identity;hypoxia;log1p_umi	True	0.3367985826604995
Wu discovery	CID4535	high_fraction_0.20	6	0.2	macrophage_identity;hypoxia;log1p_umi	True	0.3908370167683703
Wu discovery	CID4535	high_fraction_0.25	6	0.25	macrophage_identity;hypoxia;log1p_umi	True	0.3699618160066982
Wu discovery	CID4535	high_fraction_0.33	6	0.33	macrophage_identity;hypoxia;log1p_umi	True	0.3327616940076248
Wu discovery	CID4535	residual_macrophage_depth	6	0.25	macrophage_identity;log1p_umi	True	0.3779478542154536
Wu discovery	CID4535	residual_depth_only	6	0.25	log1p_umi	True	0.6891492693643223
Wu discovery	CID4535	residual_plus_fibroblast	6	0.25	macrophage_identity;hypoxia;log1p_umi;fibroblast_ecm	True	0.2188473882162021
Wu discovery	CID4535	unstratified_permutation	6	0.25	macrophage_identity;hypoxia;log1p_umi	False	0.49853421975588647
Figshare validation	P1	neighbors_k4	4	0.25	macrophage_identity;hypoxia;log1p_umi	True	0.09614329094000255
Figshare validation	P1	neighbors_k6	6	0.25	macrophage_identity;hypoxia;log1p_umi	True	0.09880390405334664
Figshare validation	P1	neighbors_k8	8	0.25	macrophage_identity;hypoxia;log1p_umi	True	0.09326451151285836
Figshare validation	P1	neighbors_k12	12	0.25	macrophage_identity;hypoxia;log1p_umi	True	0.09321944603779432
Figshare validation	P1	high_fraction_0.20	6	0.2	macrophage_identity;hypoxia;log1p_umi	True	0.08028688816676326
Figshare validation	P1	high_fraction_0.25	6	0.25	macrophage_identity;hypoxia;log1p_umi	True	0.09880390405334664
Figshare validation	P1	high_fraction_0.33	6	0.33	macrophage_identity;hypoxia;log1p_umi	True	0.09849136406371232
Figshare validation	P1	residual_macrophage_depth	6	0.25	macrophage_identity;log1p_umi	True	0.10005059121126368
Figshare validation	P1	residual_depth_only	6	0.25	log1p_umi	True	0.14176874568932427
Figshare validation	P1	residual_plus_fibroblast	6	0.25	macrophage_identity;hypoxia;log1p_umi;fibroblast_ecm	True	0.0038626878102892975
Figshare validation	P1	unstratified_permutation	6	0.25	macrophage_identity;hypoxia;log1p_umi	False	0.10689374348040769
Figshare validation	P2	neighbors_k4	4	0.25	macrophage_identity;hypoxia;log1p_umi	True	0.19480754984912596
Figshare validation	P2	neighbors_k6	6	0.25	macrophage_identity;hypoxia;log1p_umi	True	0.19819761633424265
Figshare validation	P2	neighbors_k8	8	0.25	macrophage_identity;hypoxia;log1p_umi	True	0.18549386332906528
Figshare validation	P2	neighbors_k12	12	0.25	macrophage_identity;hypoxia;log1p_umi	True	0.1669729988507489
Figshare validation	P2	high_fraction_0.20	6	0.2	macrophage_identity;hypoxia;log1p_umi	True	0.21726615033988927
Figshare validation	P2	high_fraction_0.25	6	0.25	macrophage_identity;hypoxia;log1p_umi	True	0.19819761633424265
Figshare validation	P2	high_fraction_0.33	6	0.33	macrophage_identity;hypoxia;log1p_umi	True	0.19500028788470367
Figshare validation	P2	residual_macrophage_depth	6	0.25	macrophage_identity;log1p_umi	True	0.20277495079120655
Figshare validation	P2	residual_depth_only	6	0.25	log1p_umi	True	0.28418169510909236
Figshare validation	P2	residual_plus_fibroblast	6	0.25	macrophage_identity;hypoxia;log1p_umi;fibroblast_ecm	True	0.11698328975810379
Figshare validation	P2	unstratified_permutation	6	0.25	macrophage_identity;hypoxia;log1p_umi	False	0.3419693428057715
Figshare validation	P3	neighbors_k4	4	0.25	macrophage_identity;hypoxia;log1p_umi	True	0.13675740536195635
Figshare validation	P3	neighbors_k6	6	0.25	macrophage_identity;hypoxia;log1p_umi	True	0.11774169753537904
Figshare validation	P3	neighbors_k8	8	0.25	macrophage_identity;hypoxia;log1p_umi	True	0.10618768088870041
Figshare validation	P3	neighbors_k12	12	0.25	macrophage_identity;hypoxia;log1p_umi	True	0.09356672933571475
Figshare validation	P3	high_fraction_0.20	6	0.2	macrophage_identity;hypoxia;log1p_umi	True	0.10868000633487958
Figshare validation	P3	high_fraction_0.25	6	0.25	macrophage_identity;hypoxia;log1p_umi	True	0.11774169753537904
Figshare validation	P3	high_fraction_0.33	6	0.33	macrophage_identity;hypoxia;log1p_umi	True	0.13625816461834808
Figshare validation	P3	residual_macrophage_depth	6	0.25	macrophage_identity;log1p_umi	True	0.16391278438417028
Figshare validation	P3	residual_depth_only	6	0.25	log1p_umi	True	0.2994652861095445
Figshare validation	P3	residual_plus_fibroblast	6	0.25	macrophage_identity;hypoxia;log1p_umi;fibroblast_ecm	True	-0.0683108736984396
Figshare validation	P3	unstratified_permutation	6	0.25	macrophage_identity;hypoxia;log1p_umi	False	0.1621162776303964
Figshare validation	P4	neighbors_k4	4	0.25	macrophage_identity;hypoxia;log1p_umi	True	0.14403291222420708
Figshare validation	P4	neighbors_k6	6	0.25	macrophage_identity;hypoxia;log1p_umi	True	0.14884968120518965
Figshare validation	P4	neighbors_k8	8	0.25	macrophage_identity;hypoxia;log1p_umi	True	0.14315154221920567
Figshare validation	P4	neighbors_k12	12	0.25	macrophage_identity;hypoxia;log1p_umi	True	0.148735687837246
Figshare validation	P4	high_fraction_0.20	6	0.2	macrophage_identity;hypoxia;log1p_umi	True	0.1074114629592917
Figshare validation	P4	high_fraction_0.25	6	0.25	macrophage_identity;hypoxia;log1p_umi	True	0.14884968120518965
Figshare validation	P4	high_fraction_0.33	6	0.33	macrophage_identity;hypoxia;log1p_umi	True	0.12116525380967491
Figshare validation	P4	residual_macrophage_depth	6	0.25	macrophage_identity;log1p_umi	True	0.1218539567030158
Figshare validation	P4	residual_depth_only	6	0.25	log1p_umi	True	0.2745286969735994
Figshare validation	P4	residual_plus_fibroblast	6	0.25	macrophage_identity;hypoxia;log1p_umi;fibroblast_ecm	True	-0.057324530839880136
Figshare validation	P4	unstratified_permutation	6	0.25	macrophage_identity;hypoxia;log1p_umi	False	0.1939262646260287
Figshare validation	P5	neighbors_k4	4	0.25	macrophage_identity;hypoxia;log1p_umi	True	0.2655949846574505
Figshare validation	P5	neighbors_k6	6	0.25	macrophage_identity;hypoxia;log1p_umi	True	0.2651978807971495
Figshare validation	P5	neighbors_k8	8	0.25	macrophage_identity;hypoxia;log1p_umi	True	0.25538330543574495
Figshare validation	P5	neighbors_k12	12	0.25	macrophage_identity;hypoxia;log1p_umi	True	0.2402577024687549
Figshare validation	P5	high_fraction_0.20	6	0.2	macrophage_identity;hypoxia;log1p_umi	True	0.28418158406415767
Figshare validation	P5	high_fraction_0.25	6	0.25	macrophage_identity;hypoxia;log1p_umi	True	0.2651978807971495
Figshare validation	P5	high_fraction_0.33	6	0.33	macrophage_identity;hypoxia;log1p_umi	True	0.281146191804485
Figshare validation	P5	residual_macrophage_depth	6	0.25	macrophage_identity;log1p_umi	True	0.26910104659741835
Figshare validation	P5	residual_depth_only	6	0.25	log1p_umi	True	0.5580992234494084
Figshare validation	P5	residual_plus_fibroblast	6	0.25	macrophage_identity;hypoxia;log1p_umi;fibroblast_ecm	True	0.09329998143019913
Figshare validation	P5	unstratified_permutation	6	0.25	macrophage_identity;hypoxia;log1p_umi	False	0.33540967776230646
Figshare validation	P6	neighbors_k4	4	0.25	macrophage_identity;hypoxia;log1p_umi	True	0.13561871802403336
Figshare validation	P6	neighbors_k6	6	0.25	macrophage_identity;hypoxia;log1p_umi	True	0.11149727213510674
Figshare validation	P6	neighbors_k8	8	0.25	macrophage_identity;hypoxia;log1p_umi	True	0.10759762381745283
Figshare validation	P6	neighbors_k12	12	0.25	macrophage_identity;hypoxia;log1p_umi	True	0.09824531679714296
Figshare validation	P6	high_fraction_0.20	6	0.2	macrophage_identity;hypoxia;log1p_umi	True	0.10141180399213129
Figshare validation	P6	high_fraction_0.25	6	0.25	macrophage_identity;hypoxia;log1p_umi	True	0.11149727213510674
Figshare validation	P6	high_fraction_0.33	6	0.33	macrophage_identity;hypoxia;log1p_umi	True	0.08879626292854399
Figshare validation	P6	residual_macrophage_depth	6	0.25	macrophage_identity;log1p_umi	True	0.11039642272632505
Figshare validation	P6	residual_depth_only	6	0.25	log1p_umi	True	0.25275206778375486
Figshare validation	P6	residual_plus_fibroblast	6	0.25	macrophage_identity;hypoxia;log1p_umi;fibroblast_ecm	True	-0.0301115275500489
Figshare validation	P6	unstratified_permutation	6	0.25	macrophage_identity;hypoxia;log1p_umi	False	0.14625591824876188
Figshare validation	P7	neighbors_k4	4	0.25	macrophage_identity;hypoxia;log1p_umi	True	-0.07803778026384708
Figshare validation	P7	neighbors_k6	6	0.25	macrophage_identity;hypoxia;log1p_umi	True	-0.08983534495913405
Figshare validation	P7	neighbors_k8	8	0.25	macrophage_identity;hypoxia;log1p_umi	True	-0.0827251976711415
Figshare validation	P7	neighbors_k12	12	0.25	macrophage_identity;hypoxia;log1p_umi	True	-0.07682462980239702
Figshare validation	P7	high_fraction_0.20	6	0.2	macrophage_identity;hypoxia;log1p_umi	True	-0.08928864773689513
Figshare validation	P7	high_fraction_0.25	6	0.25	macrophage_identity;hypoxia;log1p_umi	True	-0.08983534495913405
Figshare validation	P7	high_fraction_0.33	6	0.33	macrophage_identity;hypoxia;log1p_umi	True	-0.0807586924929989
Figshare validation	P7	residual_macrophage_depth	6	0.25	macrophage_identity;log1p_umi	True	-0.08904072657704765
Figshare validation	P7	residual_depth_only	6	0.25	log1p_umi	True	-0.10882692998309655
Figshare validation	P7	residual_plus_fibroblast	6	0.25	macrophage_identity;hypoxia;log1p_umi;fibroblast_ecm	True	-0.10166289369361689
Figshare validation	P7	unstratified_permutation	6	0.25	macrophage_identity;hypoxia;log1p_umi	False	-0.06538848558276789
Figshare validation	P8	neighbors_k4	4	0.25	macrophage_identity;hypoxia;log1p_umi	True	0.1198053319998453
Figshare validation	P8	neighbors_k6	6	0.25	macrophage_identity;hypoxia;log1p_umi	True	0.1255355330856952
Figshare validation	P8	neighbors_k8	8	0.25	macrophage_identity;hypoxia;log1p_umi	True	0.11913048424619489
Figshare validation	P8	neighbors_k12	12	0.25	macrophage_identity;hypoxia;log1p_umi	True	0.11777286245750236
Figshare validation	P8	high_fraction_0.20	6	0.2	macrophage_identity;hypoxia;log1p_umi	True	0.14320448562145421
Figshare validation	P8	high_fraction_0.25	6	0.25	macrophage_identity;hypoxia;log1p_umi	True	0.1255355330856952
Figshare validation	P8	high_fraction_0.33	6	0.33	macrophage_identity;hypoxia;log1p_umi	True	0.11727869295454653
Figshare validation	P8	residual_macrophage_depth	6	0.25	macrophage_identity;log1p_umi	True	0.12850713219460844
Figshare validation	P8	residual_depth_only	6	0.25	log1p_umi	True	0.21613242349937362
Figshare validation	P8	residual_plus_fibroblast	6	0.25	macrophage_identity;hypoxia;log1p_umi;fibroblast_ecm	True	0.04229792948701807
Figshare validation	P8	unstratified_permutation	6	0.25	macrophage_identity;hypoxia;log1p_umi	False	0.1337184320883525
TNBC94 extension	1	neighbors_k4	4	0.25	macrophage_identity;hypoxia;log1p_umi	True	0.1107597550786531
TNBC94 extension	1	neighbors_k6	6	0.25	macrophage_identity;hypoxia;log1p_umi	True	0.09900791157987851
TNBC94 extension	1	neighbors_k8	8	0.25	macrophage_identity;hypoxia;log1p_umi	True	0.08100636693678215
TNBC94 extension	1	neighbors_k12	12	0.25	macrophage_identity;hypoxia;log1p_umi	True	0.07087509988874065
TNBC94 extension	1	high_fraction_0.20	6	0.2	macrophage_identity;hypoxia;log1p_umi	True	0.1414080535999605
TNBC94 extension	1	high_fraction_0.25	6	0.25	macrophage_identity;hypoxia;log1p_umi	True	0.09900791157987851
TNBC94 extension	1	high_fraction_0.33	6	0.33	macrophage_identity;hypoxia;log1p_umi	True	0.07702554123492003
TNBC94 extension	1	residual_macrophage_depth	6	0.25	macrophage_identity;log1p_umi	True	0.10822524053841936
TNBC94 extension	1	residual_depth_only	6	0.25	log1p_umi	True	0.3166395167513091
TNBC94 extension	1	residual_plus_fibroblast	6	0.25	macrophage_identity;hypoxia;log1p_umi;fibroblast_ecm	True	-0.0028754838774575388
TNBC94 extension	1	unstratified_permutation	6	0.25	macrophage_identity;hypoxia;log1p_umi	False	0.10875683526652621
TNBC94 extension	2	neighbors_k4	4	0.25	macrophage_identity;hypoxia;log1p_umi	True	0.04242638725477087
TNBC94 extension	2	neighbors_k6	6	0.25	macrophage_identity;hypoxia;log1p_umi	True	0.05323038779091446
TNBC94 extension	2	neighbors_k8	8	0.25	macrophage_identity;hypoxia;log1p_umi	True	0.05188401624471962
TNBC94 extension	2	neighbors_k12	12	0.25	macrophage_identity;hypoxia;log1p_umi	True	0.04338427588288143
TNBC94 extension	2	high_fraction_0.20	6	0.2	macrophage_identity;hypoxia;log1p_umi	True	0.0496325613320825
TNBC94 extension	2	high_fraction_0.25	6	0.25	macrophage_identity;hypoxia;log1p_umi	True	0.05323038779091446
TNBC94 extension	2	high_fraction_0.33	6	0.33	macrophage_identity;hypoxia;log1p_umi	True	0.044153275219753034
