subcluster	cells
Bcell_00	3590
Bcell_01	792
Bcell_02	11110
Bcell_03	2669
Bcell_04	3455
Bcell_05	7312
Bcell_06	5466
Bcell_07	4262
Bcell_08	4185
Tcell_00	9126
Tcell_01	10269
Tcell_02	54653
Tcell_03	18782
Tcell_04	35110
Tcell_05	10620
Tcell_06	38959
Tcell_07	10579
mastcell	1642
myeloid_00	7587
myeloid_01	10253
myeloid_02	3952
myeloid_03	12756
myeloid_04	14795
myeloid_05	4449
myeloid_06	4000
myeloid_07	2106
myeloid_08	1810
myeloid_09	8614
myeloid_10	8323
myeloid_11	31523
