predictor	covariate	n	responders	nonresponders	coefficient	odds_ratio_per_sd	ci95_low	ci95_high	wald_p	likelihood_ratio_chi2	likelihood_ratio_p	aic	negative_control	likelihood_ratio_fdr
z_P1_inflammatory	none	34	24	10	0.24352451237320388	1.275737588813287	0.6218445948898302	2.617223674348215	0.5065437481729593	0.4353576547201996	0.5093716707956173	44.758872302596465	P1_inflammatory	0.5942669492615535
z_P6_interferon	none	34	24	10	0.42690416552672683	1.5325057878013766	0.7018748520033311	3.3461435225115777	0.2839485984103609	1.2040142124100228	0.2725208402112897	43.99021574490664	P6_interferon	0.4486619471824195
z_P3_secondary	none	34	24	10	0.6095004917431504	1.8395123176651937	0.835262041318482	4.051190404271875	0.13025008760244844	2.4510556648616983	0.11744585829596342	42.74317429245497	P3_secondary	0.41106050403587197
z_macrophage_identity	none	34	24	10	0.3739257341548023	1.4534292063001792	0.6903875260606122	3.059812609564598	0.3248663443128629	0.9870158612459576	0.3204728194160139	44.20721409607071	macrophage_identity	0.4486619471824195
z_phagolysosome	none	34	24	10	0.8365143622331865	2.3083070157777477	1.0160737521770307	5.243990672598758	0.04570709051986828	4.7208268296395275	0.029799410990768552	40.47340312767714	phagolysosome	0.20859587693537987
z_hypoxia	none	34	24	10	0.1673525493559705	1.182170965462881	0.5553206993752375	2.516614621345335	0.6641951502608434	0.1901151528490601	0.6628207940916522	45.004114804467605	hypoxia	0.6628207940916522
z_macrophage_like_fraction_of_immune	none	34	24	10	-0.40104562381423814	0.6696195097448838	0.31831099319961664	1.4086547351815384	0.29052457706712254	1.1282306222517917	0.28815306523123124	44.06599933506487	macrophage_like_fraction_of_immune	0.4486619471824195
