group	macrophage_cells	P1_projection	P2_projection	P3_projection	P4_projection	P5_projection	P6_projection
TN_B1_0554	1492	1.01439823028182	1.46504076361733	1.26076138552553	1.52079622983425	1.01333504161292	1.14577133997796
TN_B1_0177	2887	1.15089792629502	1.36049368651884	1.41886744204749	1.69447956420233	1.18674059916665	1.2071715412627
TN_0135	569	0.980099575221337	1.11415880820235	1.25524176831927	1.3457100809312	0.908075201988228	0.692806037932526
TN_B1_4031	39	0.922999806131664	0.985769404324517	1.32167313176245	1.65015348601437	0.984484420488661	1.12465088439957
TN_B1_0131	40	0.919215169663231	0.98680918452355	0.984752623683023	1.00364415422855	0.996155709556924	0.548931119728145
TN_0126	407	0.884725426077044	1.23340712902534	1.3960708679012	1.49463690061699	1.07479648575139	1.30433286960523
TN_0106	240	1.55017634185544	1.71033304855435	1.58394397620322	1.81177713250341	1.71529221419291	1.218837880322
TN_0114_T2	219	0.96184353709416	1.43757231395253	1.67938827008645	1.82669381159577	1.36978095212109	0.913862678344574
