patient	A1_exposure	A2_exposure	A3_exposure	A4_exposure	A5_exposure
BC1	0.1381286039074606	0.0	0.44946491250671616	0.0	0.0
BC2	0.10310582741595692	0.1204922141872559	0.5775303256313238	0.0	0.0005575421251672937
BC3	0.32248968948071743	0.02467497841483365	0.024809376279138193	0.010604589143294405	0.23374583647369643
BC4	0.2121448428934346	0.026739905434319852	0.22259442020556724	0.015590402209677468	0.18037264496475414
BC5	0.15632337854792594	0.8612739668279281	0.030084236649183624	0.10029571588041897	0.07941998210009986
BC6	0.17356644966631757	0.11774610072742794	0.05994180843521442	0.5956016732343776	0.12646633694221765
BC7	0.3712320200042518	0.1225531027251737	0.019980654176600474	0.052600613511696453	4.264537194838009e-05
BC8	0.16463882081850623	0.07830252937105686	0.225562028179624	0.30121039452566634	0.02128538291100773
