method	seed	rng	metric	rank	sparseness.basis	sparseness.coef	rss	evar	silhouette.coef	silhouette.basis	residuals	niter	cpu	cpu.all	nrun	cophenetic	dispersion	silhouette.consensus
brunet	random	2	KL	5	0.56501477592417	0.531276730203797	286623.299458652	0.586810722846973	0.562215877466674	0.604661341303504	230987.568617986	2000	49.357	90.635	2	0.915493658958017	0.826115032218332	0.655996548912771
brunet	random	1	KL	6	0.598612143866855	0.537977808220068	281003.496386389	0.594912096229933	0.508030429672997	0.610047519878358	225473.317405899	2000	43.442	88.294	2	0.917409840227647	0.821701741384648	0.679575808157689
brunet	random	2	KL	7	0.620285250975543	0.520495118238672	272576.197896726	0.607060687701294	0.426845628332553	0.5629625695317	220167.826253266	2000	41.69	86.618	2	0.91099366886342	0.859882488223407	0.685860102035686
