contrast	test	n	median_change	statistic	p_value	fdr
PD1_minus_Base	paired_wilcoxon_overall	33	0.1799018254190845	167.0	0.042404816253110766	0.1272144487593323
PD1_minus_Base	mannwhitney_change_R_vs_NR	33	-0.3124794701122059	74.0	0.1126241160783603	0.2252482321567206
RTPD1_minus_PD1	paired_wilcoxon_overall	34	-0.2549533240234714	118.0	0.001570128952153027	0.009420773712918162
RTPD1_minus_PD1	mannwhitney_change_R_vs_NR	34	0.048246117726710724	149.0	0.41801091956926173	0.6116753925103694
RTPD1_minus_Base	paired_wilcoxon_overall	34	-0.13420878298224445	258.0	0.5097294937586412	0.6116753925103694
RTPD1_minus_Base	mannwhitney_change_R_vs_NR	34	0.027961340103290377	114.0	0.8353223064278266	0.8353223064278265
