cohort	treatment	subcluster	cells
Patient43	RTPD1	myeloid_08	7
Patient43	RTPD1	myeloid_09	30
Patient43	RTPD1	myeloid_10	9
Patient43	RTPD1	myeloid_11	173
Patient45	Base	myeloid_01	4
Patient45	Base	myeloid_03	23
Patient45	Base	myeloid_04	20
Patient45	Base	myeloid_05	3
Patient45	Base	myeloid_07	5
Patient45	Base	myeloid_08	5
Patient45	Base	myeloid_09	42
Patient45	Base	myeloid_10	1
Patient45	Base	myeloid_11	37
Patient45	PD1	myeloid_00	115
Patient45	PD1	myeloid_01	241
Patient45	PD1	myeloid_02	102
Patient45	PD1	myeloid_03	178
Patient45	PD1	myeloid_04	260
Patient45	PD1	myeloid_05	44
Patient45	PD1	myeloid_06	111
Patient45	PD1	myeloid_07	20
Patient45	PD1	myeloid_08	19
Patient45	PD1	myeloid_09	45
Patient45	PD1	myeloid_10	22
Patient45	PD1	myeloid_11	270
Patient45	RTPD1	myeloid_02	1
Patient45	RTPD1	myeloid_04	6
Patient45	RTPD1	myeloid_07	2
Patient45	RTPD1	myeloid_08	1
Patient45	RTPD1	myeloid_09	1
Patient45	RTPD1	myeloid_11	1
Patient46	Base	myeloid_00	45
Patient46	Base	myeloid_01	120
Patient46	Base	myeloid_02	8
Patient46	Base	myeloid_03	176
Patient46	Base	myeloid_04	106
Patient46	Base	myeloid_05	97
Patient46	Base	myeloid_06	341
Patient46	Base	myeloid_07	1
Patient46	Base	myeloid_08	9
Patient46	Base	myeloid_09	29
Patient46	Base	myeloid_10	1
Patient46	Base	myeloid_11	280
Patient46	PD1	myeloid_00	12
Patient46	PD1	myeloid_01	86
Patient46	PD1	myeloid_02	6
Patient46	PD1	myeloid_03	272
Patient46	PD1	myeloid_04	30
Patient46	PD1	myeloid_05	46
Patient46	PD1	myeloid_06	235
Patient46	PD1	myeloid_07	90
Patient46	PD1	myeloid_08	24
Patient46	PD1	myeloid_09	108
Patient46	PD1	myeloid_11	232
Patient46	RTPD1	myeloid_01	5
Patient46	RTPD1	myeloid_03	28
Patient46	RTPD1	myeloid_04	17
Patient46	RTPD1	myeloid_07	9
Patient46	RTPD1	myeloid_08	22
Patient46	RTPD1	myeloid_09	59
Patient46	RTPD1	myeloid_11	131
Patient47	Base	myeloid_00	2
Patient47	Base	myeloid_01	48
Patient47	Base	myeloid_02	8
Patient47	Base	myeloid_03	211
Patient47	Base	myeloid_04	42
Patient47	Base	myeloid_05	17
Patient47	Base	myeloid_06	26
Patient47	Base	myeloid_07	28
Patient47	Base	myeloid_08	9
Patient47	Base	myeloid_09	88
Patient47	Base	myeloid_10	1
Patient47	Base	myeloid_11	172
Patient47	PD1	myeloid_00	25
Patient47	PD1	myeloid_01	242
Patient47	PD1	myeloid_02	22
Patient47	PD1	myeloid_03	287
Patient47	PD1	myeloid_04	40
Patient47	PD1	myeloid_05	77
Patient47	PD1	myeloid_06	109
Patient47	PD1	myeloid_07	30
Patient47	PD1	myeloid_08	24
Patient47	PD1	myeloid_09	60
Patient47	PD1	myeloid_11	375
Patient47	RTPD1	myeloid_03	10
Patient47	RTPD1	myeloid_04	12
Patient47	RTPD1	myeloid_07	16
Patient47	RTPD1	myeloid_08	23
Patient47	RTPD1	myeloid_09	53
Patient47	RTPD1	myeloid_11	110
Patient48	Base	myeloid_00	1
Patient48	Base	myeloid_01	10
Patient48	Base	myeloid_03	38
Patient48	Base	myeloid_04	26
Patient48	Base	myeloid_05	5
Patient48	Base	myeloid_06	1
Patient48	Base	myeloid_07	2
Patient48	Base	myeloid_08	3
Patient48	Base	myeloid_09	23
Patient48	Base	myeloid_10	1
Patient48	Base	myeloid_11	11
Patient48	PD1	myeloid_00	1
Patient48	PD1	myeloid_01	5
Patient48	PD1	myeloid_02	1
Patient48	PD1	myeloid_03	6
Patient48	PD1	myeloid_04	24
Patient48	PD1	myeloid_05	6
Patient48	PD1	myeloid_06	1
Patient48	PD1	myeloid_07	4
Patient48	PD1	myeloid_08	2
Patient48	PD1	myeloid_09	12
Patient48	PD1	myeloid_10	1
Patient48	PD1	myeloid_11	19
Patient48	RTPD1	myeloid_02	27
Patient48	RTPD1	myeloid_03	21
Patient48	RTPD1	myeloid_04	51
Patient48	RTPD1	myeloid_05	3
Patient48	RTPD1	myeloid_07	1
Patient48	RTPD1	myeloid_08	2
Patient48	RTPD1	myeloid_09	12
Patient48	RTPD1	myeloid_10	13
Patient48	RTPD1	myeloid_11	26
Patient52	Base	myeloid_01	15
Patient52	Base	myeloid_03	134
Patient52	Base	myeloid_04	97
Patient52	Base	myeloid_05	2
Patient52	Base	myeloid_07	1
Patient52	Base	myeloid_08	7
Patient52	Base	myeloid_09	77
Patient52	Base	myeloid_11	20
Patient52	PD1	myeloid_00	9
Patient52	PD1	myeloid_01	10
Patient52	PD1	myeloid_03	18
Patient52	PD1	myeloid_04	168
Patient52	PD1	myeloid_05	3
Patient52	PD1	myeloid_07	1
Patient52	PD1	myeloid_08	1
Patient52	PD1	myeloid_09	43
Patient52	PD1	myeloid_10	8
Patient52	PD1	myeloid_11	67
Patient52	RTPD1	myeloid_01	1
Patient52	RTPD1	myeloid_03	4
Patient52	RTPD1	myeloid_04	23
Patient52	RTPD1	myeloid_05	1
Patient52	RTPD1	myeloid_07	5
Patient52	RTPD1	myeloid_08	1
Patient52	RTPD1	myeloid_09	5
Patient52	RTPD1	myeloid_11	2
Patient53	Base	myeloid_00	70
Patient53	Base	myeloid_01	237
Patient53	Base	myeloid_02	6
Patient53	Base	myeloid_03	119
Patient53	Base	myeloid_04	54
Patient53	Base	myeloid_05	504
Patient53	Base	myeloid_06	456
Patient53	Base	myeloid_07	29
Patient53	Base	myeloid_08	21
Patient53	Base	myeloid_09	31
Patient53	Base	myeloid_10	2
Patient53	Base	myeloid_11	1006
Patient53	PD1	myeloid_00	2
Patient53	PD1	myeloid_01	17
Patient53	PD1	myeloid_02	7
Patient53	PD1	myeloid_03	189
Patient53	PD1	myeloid_04	37
Patient53	PD1	myeloid_05	68
Patient53	PD1	myeloid_06	40
Patient53	PD1	myeloid_07	19
Patient53	PD1	myeloid_08	15
Patient53	PD1	myeloid_09	42
Patient53	PD1	myeloid_10	9
Patient53	PD1	myeloid_11	275
Patient53	RTPD1	myeloid_00	6
Patient53	RTPD1	myeloid_01	52
Patient53	RTPD1	myeloid_02	7
Patient53	RTPD1	myeloid_03	131
Patient53	RTPD1	myeloid_04	283
Patient53	RTPD1	myeloid_05	12
Patient53	RTPD1	myeloid_06	1
Patient53	RTPD1	myeloid_07	7
Patient53	RTPD1	myeloid_08	48
Patient53	RTPD1	myeloid_09	134
Patient53	RTPD1	myeloid_10	206
Patient53	RTPD1	myeloid_11	118
Patient56	Base	myeloid_00	79
Patient56	Base	myeloid_01	120
Patient56	Base	myeloid_02	49
Patient56	Base	myeloid_03	428
Patient56	Base	myeloid_04	31
Patient56	Base	myeloid_05	223
Patient56	Base	myeloid_06	501
Patient56	Base	myeloid_07	41
Patient56	Base	myeloid_08	30
Patient56	Base	myeloid_09	180
Patient56	Base	myeloid_10	26
Patient56	Base	myeloid_11	520
Patient56	PD1	myeloid_00	49
Patient56	PD1	myeloid_01	115
Patient56	PD1	myeloid_02	3
Patient56	PD1	myeloid_03	406
Patient56	PD1	myeloid_04	113
Patient56	PD1	myeloid_05	178
Patient56	PD1	myeloid_06	339
Patient56	PD1	myeloid_07	34
Patient56	PD1	myeloid_08	33
Patient56	PD1	myeloid_09	154
Patient56	PD1	myeloid_10	11
Patient56	PD1	myeloid_11	746
Patient56	RTPD1	myeloid_00	6
Patient56	RTPD1	myeloid_01	12
Patient56	RTPD1	myeloid_02	1
Patient56	RTPD1	myeloid_03	46
Patient56	RTPD1	myeloid_04	66
Patient56	RTPD1	myeloid_05	35
Patient56	RTPD1	myeloid_06	3
Patient56	RTPD1	myeloid_07	20
Patient56	RTPD1	myeloid_08	30
Patient56	RTPD1	myeloid_09	58
Patient56	RTPD1	myeloid_10	15
Patient56	RTPD1	myeloid_11	971
Patient57	PD1	myeloid_00	100
Patient57	PD1	myeloid_01	114
Patient57	PD1	myeloid_02	425
Patient57	PD1	myeloid_03	523
Patient57	PD1	myeloid_04	159
Patient57	PD1	myeloid_05	155
Patient57	PD1	myeloid_06	1
Patient57	PD1	myeloid_07	11
Patient57	PD1	myeloid_08	36
Patient57	PD1	myeloid_09	177
Patient57	PD1	myeloid_10	492
Patient57	PD1	myeloid_11	647
Patient57	RTPD1	myeloid_00	16
Patient57	RTPD1	myeloid_01	31
Patient57	RTPD1	myeloid_02	23
Patient57	RTPD1	myeloid_03	154
Patient57	RTPD1	myeloid_04	444
Patient57	RTPD1	myeloid_05	24
Patient57	RTPD1	myeloid_07	23
Patient57	RTPD1	myeloid_08	45
Patient57	RTPD1	myeloid_09	202
Patient57	RTPD1	myeloid_10	840
Patient57	RTPD1	myeloid_11	300
Patient63	Base	myeloid_04	6
Patient63	Base	myeloid_05	1
Patient63	Base	myeloid_07	5
Patient63	Base	myeloid_09	3
Patient63	PD1	myeloid_00	1
Patient63	PD1	myeloid_01	2
Patient63	PD1	myeloid_02	31
Patient63	PD1	myeloid_03	29
Patient63	PD1	myeloid_04	24
Patient63	PD1	myeloid_07	2
Patient63	PD1	myeloid_09	4
Patient63	PD1	myeloid_11	19
Patient63	RTPD1	myeloid_01	1
Patient63	RTPD1	myeloid_03	11
Patient63	RTPD1	myeloid_04	5
Patient63	RTPD1	myeloid_05	1
Patient63	RTPD1	myeloid_07	3
Patient63	RTPD1	myeloid_08	10
Patient63	RTPD1	myeloid_09	37
Patient63	RTPD1	myeloid_11	2
Patient64	Base	myeloid_04	3
Patient64	Base	myeloid_05	1
Patient64	Base	myeloid_09	2
Patient64	PD1	myeloid_01	1
Patient64	PD1	myeloid_02	1
Patient64	PD1	myeloid_03	30
Patient64	PD1	myeloid_04	58
Patient64	PD1	myeloid_05	3
Patient64	PD1	myeloid_07	2
Patient64	PD1	myeloid_08	3
Patient64	PD1	myeloid_09	28
Patient64	PD1	myeloid_10	21
Patient64	PD1	myeloid_11	8
Patient64	RTPD1	myeloid_00	2
Patient64	RTPD1	myeloid_03	5
Patient64	RTPD1	myeloid_04	6
Patient64	RTPD1	myeloid_06	1
Patient64	RTPD1	myeloid_10	4
Patient64	RTPD1	myeloid_11	2
Patient66	Base	myeloid_00	1
Patient66	Base	myeloid_01	1
Patient66	Base	myeloid_03	2
Patient66	Base	myeloid_04	68
Patient66	Base	myeloid_05	1
Patient66	Base	myeloid_07	1
Patient66	Base	myeloid_08	1
Patient66	Base	myeloid_09	9
Patient66	Base	myeloid_10	27
Patient66	Base	myeloid_11	2
Patient66	PD1	myeloid_02	1
Patient66	PD1	myeloid_03	7
Patient66	PD1	myeloid_04	3
Patient66	PD1	myeloid_05	1
Patient66	PD1	myeloid_06	1
Patient66	PD1	myeloid_07	1
Patient66	PD1	myeloid_08	4
Patient66	PD1	myeloid_09	20
Patient66	PD1	myeloid_11	11
Patient66	RTPD1	myeloid_04	7
Patient66	RTPD1	myeloid_08	1
Patient66	RTPD1	myeloid_11	1
