term	estimate	standard_error	t_value	p_value	n_patient_tissues	r_squared	note
const	-1.7415660039457332	2.044940211955129	-0.8516464167334529	0.42258606107439534	12.0	0.8795558666565129	patient-tissue aggregate exploratory OLS; small sample
tumor	0.16493711784649293	0.15167607561929428	1.0874300193557471	0.3128656510681343	12.0	0.8795558666565129	patient-tissue aggregate exploratory OLS; small sample
hypoxia	2.206148280588973	0.9481182945184813	2.3268702791030993	0.0528569350849063	12.0	0.8795558666565129	patient-tissue aggregate exploratory OLS; small sample
macrophage_identity	0.3256336249623337	0.20028055852380686	1.625887342048861	0.1480004445374328	12.0	0.8795558666565129	patient-tissue aggregate exploratory OLS; small sample
median_log10_total_counts	0.2946034424350632	0.684622677254936	0.4303150512283723	0.6799043880176334	12.0	0.8795558666565129	patient-tissue aggregate exploratory OLS; small sample
