discovery_program	validation_program	overlap_n	universe_genes	discovery_genes_in_universe	hypergeom_p	overlapping_genes	hypergeom_fdr
P1	B6	12	500	14	2.1324962448048536e-11	ADM;CCL20;CXCL1;CXCL3;EREG;G0S2;IL1B;LYZ;S100A8;THBD;TIMP1;VCAN	2.5589954937658243e-10
P2	B3	7	500	11	1.6142200230443827e-05	CD36;HSPH1;LYZ;MGP;PDK4;SLC40A1;TIMP1	3.874128055306518e-05
P3	B1	10	500	12	2.3636991407180555e-09	CCL18;CCL5;CXCL9;FBP1;FN1;HMOX1;IL32;LYZ;MMP9;NUPR1	1.4182194844308332e-08
P4	B4	11	500	11	3.4113799738538705e-12	CD36;CD52;FBP1;FN1;HMOX1;LYZ;MARCO;MT2A;NUPR1;S100A8;TIMP1	6.140483952936966e-11
P5	B2	10	500	11	4.2556965173827043e-10	CCL2;CCL4L2;EGR2;GEM;HSPA6;HSPH1;IL1B;LYZ;OLFML3;TNF	3.830126865644434e-09
P6	B1	17	500	18	1.0177757881043002e-17	APOBEC3A;CCL2;CCL5;CCL8;CXCL10;CXCL11;CXCL9;FN1;IDO1;IFIT1;IFIT2;IFIT3;IL32;LYZ;MT2A;RSAD2;TIMP1	3.6639928371754807e-16
