endpoint	exposure	model	n	events	hazard_ratio	ci_low	ci_high	wald_p	concordance	ph_p
DRFS	ecosystem_without_CD36	adjusted	92	22	0.748723546452058	0.51070591206707	1.09767076465355	0.138195978674154	0.785714285714286	0.799803921734662
DRFS	ecosystem_without_CD52	adjusted	92	22	0.76797139326238	0.525577021954807	1.12215724096111	0.172458757808048	0.779649595687332	0.845724452886381
DRFS	ecosystem_without_FABP5	adjusted	92	22	0.771071965318651	0.50879143734546	1.16855735387834	0.220346007618697	0.78167115902965	0.6071585186219
DRFS	ecosystem_without_FBP1	adjusted	92	22	0.758466389907799	0.51647003554951	1.11385215989868	0.158532886943742	0.785040431266847	0.78117805192755
DRFS	ecosystem_without_FN1	adjusted	92	22	0.751492570081795	0.501464541490952	1.12618348090785	0.166295994955706	0.783018867924528	0.764323190797823
DRFS	ecosystem_without_HMOX1	adjusted	92	22	0.763045616736534	0.512887540165067	1.13521691915824	0.18212036020995	0.782345013477089	0.803162884332666
DRFS	ecosystem_without_LYZ	adjusted	92	22	0.779091382086608	0.521980796756951	1.16284619168519	0.221847596739798	0.778975741239892	0.569586491043834
DRFS	ecosystem_without_MARCO	adjusted	92	22	0.769277898647861	0.521440162819458	1.13491159205734	0.186138626899173	0.777628032345014	0.962782935476212
DRFS	ecosystem_without_MT2A	adjusted	92	22	0.747169192613206	0.506044145226726	1.10318794843511	0.142644589816484	0.783018867924528	0.814429872011964
DRFS	ecosystem_without_NUPR1	adjusted	92	22	0.742651097584272	0.507086401926544	1.0876463077056	0.126418002373261	0.783692722371968	0.859884004268668
DRFS	ecosystem_without_S100A8	adjusted	92	22	0.735448281280471	0.506113145071649	1.06870208708337	0.107071766303637	0.787061994609164	0.748877669549229
DRFS	ecosystem_without_SPP1	adjusted	92	22	0.763317800506933	0.510620667187813	1.14107027390733	0.187961920255992	0.783692722371968	0.900071372087927
DRFS	ecosystem_without_TIMP1	adjusted	92	22	0.737757132583362	0.50046070309077	1.08756908048164	0.124535136515668	0.785040431266847	0.903115514604329
