discovery_program	validation_program	overlap_n	jaccard	overlap_coefficient	overlapping_genes
P1	V1	8	0.0869565217391304	0.16	CXCL8;CSTB;S100A8;CTSD;TXN;FABP5;LGALS3;LYZ
P1	V2	8	0.0869565217391304	0.16	CCL3;CSTB;CTSD;TXN;FABP5;LGALS3;LYZ;PLAU
P1	V3	15	0.176470588235294	0.3	CXCL8;CXCL2;CXCL3;G0S2;CCL3;CSTB;PLIN2;CTSD;EGR1;FABP5;CCL4;LGALS3;LYZ;DUSP2;TIMP1
P1	V4	9	0.0989010989010989	0.18	G0S2;CSTB;IL1B;TXN;FABP5;LYZ;TIMP1;BIRC3;CCL4L2
P1	V5	24	0.315789473684211	0.48	CXCL8;CXCL2;CXCL3;G0S2;CCL3;CSTB;IL1B;S100A8;PLIN2;CCL20;CTSD;TXN;EGR1;IL1RN;FABP5;CCL4;LGALS3;LYZ;EREG;TIMP1;THBD;CCL4L2;PTGS2;VCAN
P2	V1	5	0.0526315789473684	0.1	LYZ;MT2A;FABP5;TXN;MT1X
P2	V2	8	0.0869565217391304	0.16	LYZ;MT2A;HSPA1A;CTSL;HLA-DQA2;FABP5;TXN;SLC40A1
P2	V3	10	0.111111111111111	0.2	LYZ;MT2A;TIMP1;PLIN2;HSPA1A;CTSL;FABP5;SDS;HSPD1;HSPH1
P2	V4	12	0.136363636363636	0.24	LYZ;MT2A;AREG;TIMP1;HSPA1A;HLA-DQA2;FABP5;RGCC;TXN;BIRC3;LGALS2;HSPD1
P2	V5	12	0.136363636363636	0.24	LYZ;MT2A;AREG;TIMP1;PLIN2;CTSL;FABP5;RGCC;TXN;FCN1;MT1X;CD36
P3	V1	10	0.111111111111111	0.2	APOE;APOC1;LYZ;CTSD;ACP5;LGALS3;GPNMB;CSTB;TXN;MMP9
P3	V2	21	0.265822784810127	0.42	APOE;APOC1;LYZ;CTSD;IFI27;ACP5;LGALS3;GPNMB;CSTB;NUPR1;CTSL;TXN;HLA-DQA2;CXCL9;CCL18;PLA2G7;HMOX1;HSPA1A;FN1;SLC40A1;GCHFR
P3	V3	7	0.0752688172043011	0.14	LYZ;CTSD;ACP5;LGALS3;CSTB;CTSL;HSPA1A
P3	V4	8	0.0869565217391304	0.16	LYZ;IFI27;CSTB;TXN;HLA-DQA2;CXCL9;HSPA1A;FBP1
P3	V5	10	0.111111111111111	0.2	LYZ;CTSD;LGALS3;GPNMB;CSTB;CTSL;TXN;HMOX1;FN1;FBP1
P4	V1	13	0.149425287356322	0.26	SPP1;APOE;APOC1;CTSD;CSTB;FABP5;GPNMB;LYZ;LGALS3;TXN;MT2A;ACP5;S100A8
P4	V2	18	0.219512195121951	0.36	APOE;APOC1;CTSD;FN1;CSTB;FABP5;GPNMB;LYZ;CTSL;LGALS3;HSPA1A;NUPR1;TXN;GCHFR;HMOX1;MT2A;ACP5;HSPA1B
P4	V3	13	0.149425287356322	0.26	CTSD;CSTB;FABP5;LYZ;CTSL;LGALS3;HSPA1A;PLIN2;MT2A;ACP5;HSPA1B;TIMP1;SDS
P4	V4	11	0.123595505617978	0.22	CSTB;FABP5;LYZ;HSPA1A;TXN;FBP1;CD52;MT2A;RGCC;HSPA1B;TIMP1
P4	V5	20	0.25	0.4	SPP1;CTSD;FN1;CSTB;FABP5;GPNMB;LYZ;CTSL;LGALS3;PLIN2;TXN;HMOX1;FBP1;CD52;MT2A;RGCC;TIMP1;MARCO;S100A8;CD36
P5	V1	5	0.0526315789473684	0.1	APOE;CXCL8;CTSD;APOC1;LYZ
P5	V2	11	0.123595505617978	0.22	HSPA1A;CCL3;HSPA1B;APOE;CTSD;HLA-DQA2;APOC1;HMOX1;CCL2;LYZ;PLAU
P5	V3	18	0.219512195121951	0.36	HSPA1A;CCL4;CCL3;HSPA1B;HSPH1;EGR1;DUSP2;HSPD1;CXCL8;CTSD;BAG3;HSPA6;ZFAND2A;DNAJA4;CCL2;LYZ;KCNQ1OT1;CXCL2
P5	V4	9	0.0989010989010989	0.18	HSPA1A;HSPA1B;CCL4L2;HSPD1;IL1B;HLA-DQA2;PMAIP1;LYZ;RGCC
P5	V5	12	0.136363636363636	0.24	CCL4;CCL3;CCL4L2;EGR1;CXCL8;CTSD;IL1B;HMOX1;CCL2;LYZ;RGCC;CXCL2
P6	V1	5	0.0526315789473684	0.1	MT2A;TXN;LYZ;CSTB;LGALS3
P6	V2	13	0.149425287356322	0.26	CXCL10;IFI27;CCL2;MT2A;CCL8;CXCL9;TXN;LYZ;CCL3;CTSL;FN1;CSTB;LGALS3
P6	V3	11	0.123595505617978	0.22	CCL2;MT2A;LYZ;CCL4;CCL3;CTSL;TIMP1;DUSP2;CSTB;HSPD1;LGALS3
P6	V4	13	0.149425287356322	0.26	CXCL10;IFI27;MT2A;TNFSF10;CXCL9;TXN;LYZ;CXCL11;TIMP1;CCL4L2;CSTB;HSPD1;IDO1
P6	V5	14	0.162790697674419	0.28	CCL2;MT2A;IFIT3;TXN;LYZ;CCL4;CCL3;CTSL;TIMP1;IL1RN;CCL4L2;FN1;CSTB;LGALS3
