seurat_clusters	cells	P1_projection	P2_projection	P3_projection	P4_projection	P5_projection	P6_projection
0	9890	0.273609237902249	0.672312214409974	0.495420692863409	0.633103235655345	0.536628919987024	0.59757844559595
1	5893	1.07585729346238	1.36283792808749	1.3717318432267	1.60764797030731	1.12123044787387	1.1371354533254
3	1801	0.582234635500205	1.1624251820505	0.893081272806381	1.06801898576438	0.762556792988562	0.778287405292644
2	2372	0.179200012759053	0.455799572666405	0.351019790487381	0.411327795239731	0.338060874367188	0.416143603086469
4	1613	0.35049122133449	0.878664235808707	0.630987348236634	0.815859724584193	0.671865715758143	0.840229253921713
6	490	0.294575151954748	0.851017049403182	0.627833826654031	0.656488950568118	0.536529928166129	0.653328171032528
5	1579	0.159939253734359	0.447676354132038	0.319185149608606	0.447280893329617	0.333922450613176	0.355494107348675
8	282	0.47671812866362	1.13818548076627	0.816364314712056	0.975538313374683	0.712586648766062	0.778984713543388
9	75	0.448521124044415	1.00773263764796	0.641218762378113	0.941875948775469	0.875360578336953	0.560591516797072
7	472	0.465977833583224	1.16446192794786	0.84146462272915	1.02474450467766	0.742774036233932	0.788396114228193
