target	patients	mean_patient_effect	patients_positive	cohort_null_median	cohort_permutation_p	alternative	secondary_fdr
fibrovascular	6	0.18068673380351527	5	0.05829171950499193	0.0004997501249375312	greater	
fibroblast_ecm	6	0.11509104500030719	5	0.044463784301561934	0.0004997501249375312	two-sided	0.000624687656171914
endothelial_angiogenic	6	0.01948178053523069	5	0.005335024410034102	0.0004997501249375312	two-sided	0.000624687656171914
malignant_epithelial	6	0.006835850988638814	3	-4.719462085125044e-06	0.11694152923538231	two-sided	0.11694152923538233
cd8_cytotoxic	6	0.03170417537277068	5	0.010271628478215701	0.0004997501249375312	two-sided	0.000624687656171914
treg	6	0.01038902817796469	5	0.0037541862273351807	0.0004997501249375312	two-sided	0.000624687656171914
