program	requested_genes	present_genes	coverage	genes_present
P1	30	29	0.9666666666666667	CXCL8;CXCL2;CXCL3;G0S2;NEAT1;CCL3;CSTB;IL1B;S100A8;PLIN2;CCL20;CTSD;CEBPB;BRI3;TXN;CXCL1;EGR1;OSM;IL1RN;FABP5;CCL4;TNFAIP6;LGALS3;LYZ;EREG;DUSP2;TIMP1;OLR1;ADM
P2	30	29	0.9666666666666667	NEAT1;LYZ;HSP90AA1;GPR183;MT2A;VIM;ANXA1;MGP;AREG;TIMP1;ANXA2;PDK4;PLIN2;NDUFB8;NDUFC2;CTSC;LMNA;HSPA1A;CTSL;CEBPB;TMBIM4;HLA-DQA2;HSPA5;PSMA2;GNAS;FABP5;RGCC;PRDX1;TXN
P3	30	30	1.0	APOE;APOC1;LYZ;CTSD;CTSC;IFI27;PRDX1;ACP5;LGALS3;VIM;GPNMB;CTSZ;CSTB;ANXA2;NUPR1;CTSL;TXN;CD81;HSP90AA1;HLA-DQA2;CXCL9;MMP9;NEAT1;ALDH2;ADAMDEC1;CCL18;PLA2G7;HMOX1;LTA4H;IL32
P4	30	30	1.0	SPP1;APOE;VIM;APOC1;CTSD;FN1;CSTB;FABP5;ANXA2;GPNMB;LYZ;HSP90AA1;CTSL;LGALS3;IFI6;CTSZ;HSPA1A;NUPR1;NEAT1;PRDX1;CD81;ANXA1;PLIN2;TXN;GCHFR;GNAS;HMOX1;FBP1;FLNA;CD52
P5	30	29	0.9666666666666667	HSPA1A;CCL4;CCL3;HSPA1B;HSP90AA1;CCL4L2;HSPH1;NEAT1;EGR1;APOE;DUSP2;HSPD1;VIM;CXCL8;CTSD;ID2;BAG3;IER5;HSPA6;IL1B;HLA-DQA2;EIF4A3;PRDX1;TNF;APOC1;PMAIP1;PHLDA1;HMOX1;LMNA
P6	30	30	1.0	CXCL10;IFI27;ISG15;CCL2;MT2A;IFI6;GBP1;IFITM1;IFIT3;TNFSF10;CCL8;VIM;CXCL9;GBP5;PRDX1;TXN;LYZ;WARS;CCL4;ANXA2;IFIT2;IFIT1;ISG20;IL4I1;CXCL11;CCL3;CTSC;HSPA5;HSP90AA1;RSAD2
