section	module	requested_genes	present_genes	coverage	genes_present
P5	hypoxia	14	14	1	HIF1A;EGLN1;CA9;VEGFA;LDHA;PDK1;SLC2A1;BNIP3;NDRG1;ENO1;ALDOA;PGK1;HK2;PFKP
P5	fibroblast_ecm	12	12	1	COL1A1;COL1A2;COL3A1;COL5A1;COL5A2;DCN;LUM;C7;CTHRC1;FAP;POSTN;THY1
P5	endothelial_angiogenic	10	10	1	PECAM1;VWF;EMCN;KDR;ESAM;ENG;PLVAP;ACKR1;RGCC;CA4
P5	malignant_epithelial	8	8	1	EPCAM;KRT8;KRT18;KRT19;KRT17;KRT5;KRT14;TACSTD2
P5	cd8_cytotoxic	8	8	1	CD3D;CD3E;CD8A;CD8B;NKG7;GNLY;GZMB;PRF1
P5	treg	5	5	1	FOXP3;IL2RA;CTLA4;TIGIT;IKZF2
P5	tcell_exhaustion	7	7	1	PDCD1;HAVCR2;LAG3;TIGIT;CTLA4;TOX;ENTPD1
P5	tcell_ifng_response	6	6	1	IFNG;CXCL9;CXCL10;STAT1;IRF1;GBP1
P5	tcell_progenitor	6	6	1	TCF7;LEF1;IL7R;CCR7;LTB;SLAMF6
P6	P4_primary	13	13	1	CD36;CD52;FABP5;FBP1;FN1;HMOX1;LYZ;MARCO;MT2A;NUPR1;S100A8;SPP1;TIMP1
P6	P3_secondary	8	8	1	ACP5;CCL18;CXCL9;FN1;HMOX1;IFI27;LYZ;NUPR1
P6	macrophage_identity	5	5	1	C1QA;C1QB;C1QC;CD68;MSR1
P6	hypoxia	14	14	1	HIF1A;EGLN1;CA9;VEGFA;LDHA;PDK1;SLC2A1;BNIP3;NDRG1;ENO1;ALDOA;PGK1;HK2;PFKP
P6	fibroblast_ecm	12	12	1	COL1A1;COL1A2;COL3A1;COL5A1;COL5A2;DCN;LUM;C7;CTHRC1;FAP;POSTN;THY1
P6	endothelial_angiogenic	10	10	1	PECAM1;VWF;EMCN;KDR;ESAM;ENG;PLVAP;ACKR1;RGCC;CA4
P6	malignant_epithelial	8	8	1	EPCAM;KRT8;KRT18;KRT19;KRT17;KRT5;KRT14;TACSTD2
P6	cd8_cytotoxic	8	8	1	CD3D;CD3E;CD8A;CD8B;NKG7;GNLY;GZMB;PRF1
P6	treg	5	5	1	FOXP3;IL2RA;CTLA4;TIGIT;IKZF2
P6	tcell_exhaustion	7	7	1	PDCD1;HAVCR2;LAG3;TIGIT;CTLA4;TOX;ENTPD1
P6	tcell_ifng_response	6	6	1	IFNG;CXCL9;CXCL10;STAT1;IRF1;GBP1
P6	tcell_progenitor	6	6	1	TCF7;LEF1;IL7R;CCR7;LTB;SLAMF6
P7	P4_primary	13	13	1	CD36;CD52;FABP5;FBP1;FN1;HMOX1;LYZ;MARCO;MT2A;NUPR1;S100A8;SPP1;TIMP1
P7	P3_secondary	8	8	1	ACP5;CCL18;CXCL9;FN1;HMOX1;IFI27;LYZ;NUPR1
P7	macrophage_identity	5	5	1	C1QA;C1QB;C1QC;CD68;MSR1
P7	hypoxia	14	14	1	HIF1A;EGLN1;CA9;VEGFA;LDHA;PDK1;SLC2A1;BNIP3;NDRG1;ENO1;ALDOA;PGK1;HK2;PFKP
P7	fibroblast_ecm	12	12	1	COL1A1;COL1A2;COL3A1;COL5A1;COL5A2;DCN;LUM;C7;CTHRC1;FAP;POSTN;THY1
P7	endothelial_angiogenic	10	10	1	PECAM1;VWF;EMCN;KDR;ESAM;ENG;PLVAP;ACKR1;RGCC;CA4
P7	malignant_epithelial	8	8	1	EPCAM;KRT8;KRT18;KRT19;KRT17;KRT5;KRT14;TACSTD2
P7	cd8_cytotoxic	8	8	1	CD3D;CD3E;CD8A;CD8B;NKG7;GNLY;GZMB;PRF1
P7	treg	5	5	1	FOXP3;IL2RA;CTLA4;TIGIT;IKZF2
P7	tcell_exhaustion	7	7	1	PDCD1;HAVCR2;LAG3;TIGIT;CTLA4;TOX;ENTPD1
P7	tcell_ifng_response	6	6	1	IFNG;CXCL9;CXCL10;STAT1;IRF1;GBP1
P7	tcell_progenitor	6	6	1	TCF7;LEF1;IL7R;CCR7;LTB;SLAMF6
P8	P4_primary	13	13	1	CD36;CD52;FABP5;FBP1;FN1;HMOX1;LYZ;MARCO;MT2A;NUPR1;S100A8;SPP1;TIMP1
P8	P3_secondary	8	8	1	ACP5;CCL18;CXCL9;FN1;HMOX1;IFI27;LYZ;NUPR1
P8	macrophage_identity	5	5	1	C1QA;C1QB;C1QC;CD68;MSR1
P8	hypoxia	14	14	1	HIF1A;EGLN1;CA9;VEGFA;LDHA;PDK1;SLC2A1;BNIP3;NDRG1;ENO1;ALDOA;PGK1;HK2;PFKP
P8	fibroblast_ecm	12	12	1	COL1A1;COL1A2;COL3A1;COL5A1;COL5A2;DCN;LUM;C7;CTHRC1;FAP;POSTN;THY1
P8	endothelial_angiogenic	10	10	1	PECAM1;VWF;EMCN;KDR;ESAM;ENG;PLVAP;ACKR1;RGCC;CA4
P8	malignant_epithelial	8	8	1	EPCAM;KRT8;KRT18;KRT19;KRT17;KRT5;KRT14;TACSTD2
P8	cd8_cytotoxic	8	8	1	CD3D;CD3E;CD8A;CD8B;NKG7;GNLY;GZMB;PRF1
P8	treg	5	5	1	FOXP3;IL2RA;CTLA4;TIGIT;IKZF2
P8	tcell_exhaustion	7	7	1	PDCD1;HAVCR2;LAG3;TIGIT;CTLA4;TOX;ENTPD1
P8	tcell_ifng_response	6	6	1	IFNG;CXCL9;CXCL10;STAT1;IRF1;GBP1
P8	tcell_progenitor	6	6	1	TCF7;LEF1;IL7R;CCR7;LTB;SLAMF6
