target	patients	mean_patient_effect	cohort_null_median	mean_excess_over_null	patients_positive_excess	sign_test_p	cohort_permutation_p	alternative	secondary_fdr
fibrovascular	94	0.10130212298704724	0.02405536980000597	0.07738126135125299	82	5.6223687374767304e-14	0.0004997501249375312	greater	
fibroblast_ecm	94	0.04487917026284734	0.009767206899203254	0.03512084550455255	76	1.180000200429073e-09	0.0004997501249375312	two-sided	0.0004997501249375312
endothelial_angiogenic	94	0.010862658333714713	0.003990671822110263	0.0068785084551296685	64	0.0005879022254125642	0.0004997501249375312	two-sided	0.0004997501249375312
malignant_epithelial	94	-0.02694915827607893	-0.016636890087035117	-0.010342956674873127	33	0.00507843581282981	0.0004997501249375312	two-sided	0.0004997501249375312
cd8_cytotoxic	94	0.01190404067917512	0.0031967840190484167	0.00875364328830869	70	2.2027598315502487e-06	0.0004997501249375312	two-sided	0.0004997501249375312
treg	94	0.002471506917250826	0.0004002004148819626	0.0020945618670509345	63	0.001261386598131299	0.0004997501249375312	two-sided	0.0004997501249375312
