endpoint	exposure	model	n	events	hazard_ratio	ci_low	ci_high	wald_p	concordance	ph_p	secondary_fdr
DRFS	ecosystem_score	unadjusted	92	22	0.715210604862718	0.477587639903484	1.0710624952762	0.10378608652938	0.619272237196766	0.825672128321217	
DRFS	ecosystem_score	adjusted	92	22	0.756466172355962	0.512239097772792	1.11713665045674	0.160587363600399	0.78099730458221	0.798270666200546	
iDFS	ecosystem_score	unadjusted	92	34	0.772098913338689	0.55154205467755	1.08085453669948	0.131823173063117	0.551606621226874	0.154454896719233	
iDFS	ecosystem_score	adjusted	92	34	0.783101327564171	0.560599040811553	1.0939149812761	0.151679450182169	0.679649464459591	0.107105526705553	0.151679450182169
OS	ecosystem_score	unadjusted	92	21	0.70088375517037	0.460741388006065	1.06619038586404	0.096809667809778	0.623616236162362	0.583693779088116	
OS	ecosystem_score	adjusted	92	21	0.722999129183272	0.48551818860814	1.07663884292018	0.11037911466133	0.788191881918819	0.628518101686814	0.151679450182169
