cohort	patients	P4_sd	adjusted_residual_sd	residual_sd_fraction	model_r_squared	cor_P4_macrophage_identity	cor_P4_hypoxia	cor_P4_depth
GSE114725	8	0.529391700925229	0.315442724643041	0.315442724643041	0.900495887469775	-0.186087493294354	0.890704960884929	0.927471796592799
GSE161529	8	0.232546597527032	0.607375957904369	0.607375957904369	0.63109444575975	-0.189931573386199	0.784823630939854	0.397951414370043
GSE176078	26	0.268662289975661	0.716672808854294	0.716672808854294	0.486380085048896	0.118282405730658	0.697199503294207	0.349698549239799
GSE246613	34	0.401531342737384	0.32609993484057	0.32609993484057	0.893658832496976	-0.13726283529962	0.910890391900464	0.774209210903006
