endpoint	exposure	model	n	events	hazard_ratio	ci_low	ci_high	wald_p	concordance	ph_p	control_fdr
DRFS	P4_residual	adjusted	92	22	0.666993308707912	0.152328616208886	2.9205285581474	0.590927312090224	0.771563342318059	0.733049976993597	0.787903082786965
DRFS	fibrovascular	adjusted	92	22	0.675857839854596	0.434660443669244	1.05089806617073	0.081941246575942	0.796495956873315	0.687916948262965	0.163882493151884
DRFS	macrophage_identity	adjusted	92	22	0.594486182745569	0.368479134370302	0.959114881984705	0.0330876369504805	0.801212938005391	0.644743398245493	0.132350547801922
DRFS	hypoxia	adjusted	92	22	1.08929207946647	0.470996017854636	2.51925109641712	0.841531790490329	0.764824797843666	0.194816989828986	0.841531790490329
